,county_code,county_name,elec_num,elec_date,elec_name,precinct_id,poll_loc,total_reg,total_reg_r,total_reg_d,total_reg_other,contest_name,district,contest_code,cand_or_issue,cand_party,cand_id,doe_num,vote_total
32352,DAD,Miami-Dade,10282,11/08/2016,2016 General Election,463,PCT 367/453/463 0231,0,0,0,1307458,President of the United States, ,100000.0,Trump / Pence,REP,0.0,65072.0,0
32353,DAD,Miami-Dade,10282,11/08/2016,2016 General Election,463,PCT 367/453/463 0231,0,0,0,1307458,President of the United States, ,100000.0,Clinton / Kaine,DEM,0.0,65058.0,0
32354,DAD,Miami-Dade,10282,11/08/2016,2016 General Election,463,PCT 367/453/463 0231,0,0,0,1307458,President of the United States, ,100000.0,Johnson / Weld,LPF,0.0,69370.0,0
32355,DAD,Miami-Dade,10282,11/08/2016,2016 General Election,463,PCT 367/453/463 0231,0,0,0,1307458,President of the United States, ,100000.0,Castle / Bradley,CPF,0.0,69385.0,0
32356,DAD,Miami-Dade,10282,11/08/2016,2016 General Election,463,PCT 367/453/463 0231,0,0,0,1307458,President of the United States, ,100000.0,Stein / Baraka,GRE,0.0,69377.0,0
32357,DAD,Miami-Dade,10282,11/08/2016,2016 General Election,463,PCT 367/453/463 0231,0,0,0,1307458,President of the United States, ,100000.0,De La Fuente / Steinberg,REF,0.0,69403.0,0
32358,DAD,Miami-Dade,10282,11/08/2016,2016 General Election,463,PCT 367/453/463 0231,0,0,0,1307458,President of the United States, ,100000.0,WriteinVotes, ,0.0,900.0,0
32359,DAD,Miami-Dade,10282,11/08/2016,2016 General Election,463,PCT 367/453/463 0231,0,0,0,1307458,President of the United States, ,100000.0,OverVotes, ,0.0,901.0,0
32360,DAD,Miami-Dade,10282,11/08/2016,2016 General Election,463,PCT 367/453/463 0231,0,0,0,1307458,President of the United States, ,100000.0,UnderVotes, ,0.0,902.0,0
32361,DAD,Miami-Dade,10282,11/08/2016,2016 General Election,463,PCT 367/453/463 0231,0,0,0,1307458,United States Senator, ,120000.0,Marco Rubio,REP,109340956.0,65070.0,0
32362,DAD,Miami-Dade,10282,11/08/2016,2016 General Election,463,PCT 367/453/463 0231,0,0,0,1307458,United States Senator, ,120000.0,Patrick Murphy,DEM,110225855.0,65041.0,0
32363,DAD,Miami-Dade,10282,11/08/2016,2016 General Election,463,PCT 367/453/463 0231,0,0,0,1307458,United States Senator, ,120000.0,Paul Stanton,LPF,122945407.0,66374.0,0
32364,DAD,Miami-Dade,10282,11/08/2016,2016 General Election,463,PCT 367/453/463 0231,0,0,0,1307458,United States Senator, ,120000.0,Tony Khoury,NPA,109645332.0,65297.0,0
32365,DAD,Miami-Dade,10282,11/08/2016,2016 General Election,463,PCT 367/453/463 0231,0,0,0,1307458,United States Senator, ,120000.0,Bruce Nathan,NPA,105899561.0,64800.0,0
32366,DAD,Miami-Dade,10282,11/08/2016,2016 General Election,463,PCT 367/453/463 0231,0,0,0,1307458,United States Senator, ,120000.0,Steven Machat,NPA,118948766.0,64869.0,0
32367,DAD,Miami-Dade,10282,11/08/2016,2016 General Election,463,PCT 367/453/463 0231,0,0,0,1307458,United States Senator, ,120000.0,Basil E. Dalack,NPA,112148742.0,65789.0,0
32368,DAD,Miami-Dade,10282,11/08/2016,2016 General Election,463,PCT 367/453/463 0231,0,0,0,1307458,United States Senator, ,120000.0,WriteinVotes, ,0.0,900.0,0
32369,DAD,Miami-Dade,10282,11/08/2016,2016 General Election,463,PCT 367/453/463 0231,0,0,0,1307458,United States Senator, ,120000.0,OverVotes, ,0.0,901.0,0
32370,DAD,Miami-Dade,10282,11/08/2016,2016 General Election,463,PCT 367/453/463 0231,0,0,0,1307458,United States Senator, ,120000.0,UnderVotes, ,0.0,902.0,0
32371,DAD,Miami-Dade,10282,11/08/2016,2016 General Election,463,PCT 367/453/463 0231,0,0,0,234216,Representative in Congress, District 25,140250.0,Mario Diaz-Balart,REP,109123824.0,65305.0,0
32372,DAD,Miami-Dade,10282,11/08/2016,2016 General Election,463,PCT 367/453/463 0231,0,0,0,234216,Representative in Congress, District 25,140250.0,Alina Valdes,DEM,102103601.0,64653.0,0
32373,DAD,Miami-Dade,10282,11/08/2016,2016 General Election,463,PCT 367/453/463 0231,0,0,0,234216,Representative in Congress, District 25,140250.0,OverVotes, ,0.0,901.0,0
32374,DAD,Miami-Dade,10282,11/08/2016,2016 General Election,463,PCT 367/453/463 0231,0,0,0,234216,Representative in Congress, District 25,140250.0,UnderVotes, ,0.0,902.0,0
32379,DAD,Miami-Dade,10282,11/08/2016,2016 General Election,463,PCT 367/453/463 0231,0,0,0,43558,State Representative, District 105,261050.0,Carlos Trujillo,REP,109875207.0,64469.0,0
32380,DAD,Miami-Dade,10282,11/08/2016,2016 General Election,463,PCT 367/453/463 0231,0,0,0,43558,State Representative, District 105,261050.0,Patricio Moreno,DEM,118188259.0,68212.0,0
32381,DAD,Miami-Dade,10282,11/08/2016,2016 General Election,463,PCT 367/453/463 0231,0,0,0,43558,State Representative, District 105,261050.0,OverVotes, ,0.0,901.0,0
32382,DAD,Miami-Dade,10282,11/08/2016,2016 General Election,463,PCT 367/453/463 0231,0,0,0,43558,State Representative, District 105,261050.0,UnderVotes, ,0.0,902.0,0
32383,DAD,Miami-Dade,10282,11/08/2016,2016 General Election,463,PCT 367/453/463 0231,0,0,0,0,Clerk of the Circuit Court, ,320000.0,Harvey Ruvin,DEM,108927306.0,69079.0,0
32384,DAD,Miami-Dade,10282,11/08/2016,2016 General Election,463,PCT 367/453/463 0231,0,0,0,0,Clerk of the Circuit Court, ,320000.0,WriteinVotes, ,0.0,900.0,0
32385,DAD,Miami-Dade,10282,11/08/2016,2016 General Election,463,PCT 367/453/463 0231,0,0,0,0,Clerk of the Circuit Court, ,320000.0,OverVotes, ,0.0,901.0,0
32386,DAD,Miami-Dade,10282,11/08/2016,2016 General Election,463,PCT 367/453/463 0231,0,0,0,0,Clerk of the Circuit Court, ,320000.0,UnderVotes, ,0.0,902.0,0
32387,DAD,Miami-Dade,10282,11/08/2016,2016 General Election,463,PCT 367/453/463 0231,0,0,0,1379230,Retention of Charles T. Canady,Justice of the Supreme Court,500100.0,Yes,NOP,113445454.0,10.0,0
32388,DAD,Miami-Dade,10282,11/08/2016,2016 General Election,463,PCT 367/453/463 0231,0,0,0,1379230,Retention of Charles T. Canady,Justice of the Supreme Court,500100.0,No,NOP,113445454.0,20.0,0
32389,DAD,Miami-Dade,10282,11/08/2016,2016 General Election,463,PCT 367/453/463 0231,0,0,0,1379230,Retention of Charles T. Canady,Justice of the Supreme Court,500100.0,OverVotes, ,0.0,901.0,0
32390,DAD,Miami-Dade,10282,11/08/2016,2016 General Election,463,PCT 367/453/463 0231,0,0,0,1379230,Retention of Charles T. Canady,Justice of the Supreme Court,500100.0,UnderVotes, ,0.0,902.0,0
32391,DAD,Miami-Dade,10282,11/08/2016,2016 General Election,463,PCT 367/453/463 0231,0,0,0,1379230,Retention of Jorge Labarga,Justice of the Supreme Court,500200.0,Yes,NOP,112170657.0,10.0,0
32392,DAD,Miami-Dade,10282,11/08/2016,2016 General Election,463,PCT 367/453/463 0231,0,0,0,1379230,Retention of Jorge Labarga,Justice of the Supreme Court,500200.0,No,NOP,112170657.0,20.0,0
32393,DAD,Miami-Dade,10282,11/08/2016,2016 General Election,463,PCT 367/453/463 0231,0,0,0,1379230,Retention of Jorge Labarga,Justice of the Supreme Court,500200.0,OverVotes, ,0.0,901.0,0
32394,DAD,Miami-Dade,10282,11/08/2016,2016 General Election,463,PCT 367/453/463 0231,0,0,0,1379230,Retention of Jorge Labarga,Justice of the Supreme Court,500200.0,UnderVotes, ,0.0,902.0,0
32395,DAD,Miami-Dade,10282,11/08/2016,2016 General Election,463,PCT 367/453/463 0231,0,0,0,1379230,Retention of Ricky L. Polston,Justice of the Supreme Court,500300.0,Yes,NOP,105012057.0,10.0,0
